element,family,on_disk_ceiling_K,published_ceiling_K,covers_procyon_6554,nlte_signif_Fstar,verdict,published_source
Ca,Mashonkina2017 · DETAIL · MAFAGS-OS (1D),6500.0,unrecorded,False,significant,SELF-CONSISTENT-EXTEND via Amarsi (.grd staged) — swap w/ validate-dont-tune cross-check vs current MAFAGS-OS value,Mashonkina2017 prov records only the 6500 subset; full published range not in-repo → source pull owed. Amarsi Ca .grd staged (amarsi_galah/) as a self-consistent alt.
Ti,Bergemann2011 MPIA · DETAIL/SIU · MAFAGS-OS (1D),6500.0,7000,True,near-LTE,MPIA-WITH-CROSS-CHECK (re-scrape to 7000 K; MAFAGS-OS≠MARCS → solar overlap check),nlte.mpia.de Bergemann grids run to 7000 K (RYA-505 survey); our extraction did not record the select range → subset.
Cr,Bergemann&Cescutti2010 MPIA · DETAIL/SIU · MAFAGS-OS (1D),6500.0,7000,True,moderate,MPIA-WITH-CROSS-CHECK (re-scrape to 7000 K; MAFAGS-OS≠MARCS → solar overlap check),nlte.mpia.de Bergemann grids to 7000 K (RYA-505 survey); subset on disk.
Na,Amarsi2020 GALAH (Lind2011 atom) · PySME/SME · MARCS marcs2012,6200.0,8000,True,significant,SELF-CONSISTENT-EXTEND (re-synth Procyon node from same Amarsi .grd),"Amarsi2020 GALAH v3 prov (Zenodo 3982506): Teff 2500-8000, 32 nodes"
Mg,Amarsi2020 GALAH · PySME/SME · MARCS marcs2012,6200.0,8000,True,moderate,SELF-CONSISTENT-EXTEND (re-synth Procyon node from same Amarsi .grd),Amarsi2020 GALAH (same Zenodo 3982506 release axis 2500-8000)
Ba,Korotin2015 · MULTI · MARCS,6500.0,6500,False,significant,"REAL-LIMIT → BOUNDED-CLAMP (54 K, monotonic) or find higher grid",Korotin2015 prov coverage: Teff 4000-6500 — REAL published limit.
Sr,Bergemann2012 INSPECT · MULTI · MARCS (metal-poor),6000.0,unrecorded,False,off-crit,DEFER (off-critical; INASAN primary pending RYA-433),Bergemann2012 INSPECT metal-poor; INASAN primary pending (RYA-433).
Mn,Bergemann MPIA · DETAIL/SIU · MAFAGS-OS (1D),6500.0,7000,True,significant,SELF-CONSISTENT-EXTEND via Amarsi (.grd staged) — swap w/ validate-dont-tune cross-check vs current MAFAGS-OS value,nlte.mpia.de Bergemann grids to 7000 K (RYA-505 survey). Amarsi Mn .grd staged (amarsi_galah/) → self-consistent alt.
Si,Amarsi2020 GALAH · PySME/SME · MARCS marcs2012,6200.0,8000,True,near-LTE,SELF-CONSISTENT-EXTEND (re-synth Procyon node from same Amarsi .grd),Amarsi2020 GALAH (same Zenodo 3982506 release axis 2500-8000)
Al,Amarsi2020 GALAH (Nordlander&Lind2017 atom) · PySME/SME · MARCS marcs2012,6200.0,8000,True,near-LTE,SELF-CONSISTENT-EXTEND (re-synth Procyon node from same Amarsi .grd),Amarsi2020 GALAH v3 prov (Zenodo 3982506): Teff 2500-8000
S,Amarsi2025 · PySME/SME · MARCS marcs2012,6200.0,8000,True,moderate,SELF-CONSISTENT-EXTEND (re-synth Procyon node from same Amarsi .grd),"Amarsi2025 prov: Teff 3000-8000, 3756 MARCS nodes"
K,Amarsi2020 GALAH · PySME/SME · MARCS marcs2012,6200.0,8000,True,moderate,SELF-CONSISTENT-EXTEND (re-synth Procyon node from same Amarsi .grd),Amarsi2020 GALAH v3 prov (Zenodo 3982506): Teff 2500-8000
