kind,subject,model_type,state,can_run,engine,grid_or_path,disk_decks,source_url,citation,md5,provenance_caveat,error,fix,owned_by_ticket,anomalies,source_csv_note,notes
element,Li,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,Li,1D_NLTE,NEEDS_WIRING,no,Engine-A: LTE only | Engine-B: LTE only,,nlte_Li_scatt_pysme.grd,[amarsi_galah] https://zenodo.org/records/3982506/files/nlte_Li_scatt_pysme.tar.gz?download=1,"Amarsi et al. 2020, A&A 642, A62 (GALAH DR3 departure grids)",5d4f7101510a47e78c10b7d1645357f0,,1 departure grid(s) are ON SIRIUS but the element has NO entry in NLTE_CORRECTION_ELEMENTS and no subsystem route. The data was fetched and cannot be used.,"Register the element in config/constants.py NLTE_CORRECTION_ELEMENTS (Engine-A) and/or the gerber_nlte registry (Engine-B), then derive the vendored correction CSV into data/nlte_grids/. See the OWNED BY ticket.","RYA-540 (grid STAGED on Sirius; PySME derivation solar delta -0.030 does NOT reproduce the Lind-2009 small-positive anchor -> NOT wired, validate-don't-tune STOP) / RYA-103","ANOMALY (RYA-540): grid staged, derivation ATTEMPTED, and the solar delta came out -0.030 -- the WRONG SIGN against the Lind-2009 small-positive anchor, with the grid's J-label resolving oddly. Stopped under validate-don't-tune rather than shipped. Li I 6707 is a resonance line with a CN molecular blend (RYA-103) and needs the dedicated derivation, not EW.",RYA-540: grid staged; PySME derivation ATTEMPTED (scripts/wire_li_cu_rya540.py) -> solar delta -0.030 does NOT reproduce the Lind-2009 small-positive anchor (sign discrepancy; grid J-label resolves oddly) -> NOT wired (validate-don't-tune STOP). Li I 6707 resonance+CN-blend needs the dedicated RYA-103/458 derivation; not EW,
element,Li,MEAN3D_NLTE,REQUEST_ONLY,no,none,,,,,,,,,,,,"RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_PUBLIC. Published, but no <3D> deck on disk -> paper-table / request only."
element,Li,FULL_3D_NLTE,NONE,no,none,,,,,,,,,"RYA-820 (off-solar 3D-NLTE Li, Wang 2021 -- PUBLIC, not fetched)",,Adopted by Asplund+2021 (A(Li)=0.96). The Li grid is the widest-coverage 3D-NLTE product outside Fe. RYA-563 currently reports Li as UPPER_LIMIT on a different basis.,"No 3D-NLTE correction or engine we can run for this element. (We cannot COMPUTE full 3D from scratch for anything -- RYA-1008: no public full-3D NLTE RT code -- so every 3D capability here is a published grid/model we apply.) RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_PUBLIC."
element,C,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,C,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: LTE only,amarsi2019_cno/,nlte_C_scatt_pysme.grd,[amarsi_galah] https://zenodo.org/records/3982506/files/nlte_C_scatt_pysme.tar.gz?download=1,"Amarsi et al. 2020, A&A 642, A62 (GALAH DR3 departure grids)",27182ee9b365d727b8daa211d1c6b831,,,,,"3D leg applies BELOW Teff 6500 K, 1D-NLTE above (RYA-359/237). C I 5380 is excluded by Codex charter while Amarsi 2019 includes it (RYA-748).",,"Wired via the cno-3dnlte subsystem (amarsi2019_cno/), not NLTE_CORRECTION_ELEMENTS. 1 departure grid(s) on Sirius."
element,C,MEAN3D_NLTE,REQUEST_ONLY,no,3D-NLTE,,,,,,,,,,,,"RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_VENDORED. Published, but no <3D> deck on disk -> paper-table / request only."
element,C,FULL_3D_NLTE,HAVE,yes,3D-NLTE,data/nlte_grids/amarsi2019_cno/,,CDS VizieR J/A+A/630/A104,"Amarsi, Nissen & Skuladottir 2019, A&A 630, A104",,"3D leg below Teff 6500 K, 1D-NLTE leg above (RYA-359/237).",,,,,"CH G-band + C I 3D-NLTE via synthesis (Amarsi 2019) 3D leg below Teff 6500 K, 1D-NLTE leg above (RYA-359/237). Live in production.","CAN RUN via cno-3dnlte: Amarsi, Nissen & Skuladottir 2019 (A&A 630 A104) line-by-line 3D-NLTE / 1D-NLTE tables; 3D leg below Teff 6500 K (data/nlte_grids/amarsi2019_cno/). RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_VENDORED."
element,N,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,N,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: LTE only,N_Amarsi2020_PySME.csv,nlte_N_scatt_pysme.grd,[amarsi_galah] https://zenodo.org/records/3982506/files/nlte_N_scatt_pysme.tar.gz?download=1,"Amarsi et al. 2020, A&A 642, A62 (GALAH DR3 departure grids)",03cf5e489a93ba0633a4e0e45cffeea0,,,,,4 cool-metal-rich weak-line rails are excluded -> out-of-hull loud-flag (RYA-526). N I atomic departures are a SEPARATE registry grid from the CNO subsystem leg.,WIRED RYA-526 (strategy RYA-369): ion 1; N I red triplet 7468/8216/8683; PySME-derived from Amarsi-2020 (Zenodo 3982506); solar reproduces the RYA-369 load-test exactly; 4 cool-metal-rich weak-line rails excluded -> out-of-hull loud-flag PySME departure grid -> derived N_Amarsi2020_PySME.csv (RYA-526); input to the derivation only,
element,N,MEAN3D_NLTE,REQUEST_ONLY,no,3D-NLTE,,,,,,,,,,,,"RYA-817 literature: solar=FULL_3D_NLTE, offsolar=SOLAR_ONLY. Published, but no <3D> deck on disk -> paper-table / request only."
element,N,FULL_3D_NLTE,HAVE,yes,3D-NLTE,data/nlte_grids/amarsi2019_cno/,,CDS VizieR J/A+A/630/A104,"Amarsi, Nissen & Skuladottir 2019, A&A 630, A104",,"3D leg below Teff 6500 K, 1D-NLTE leg above (RYA-359/237).",,,,,"C/O synthesis NLTE (Amarsi 2019). N I atomic departures are the SEPARATE registry-nlte grid above (now wired, RYA-526) — not owed by this CNO subsystem The CNO subsystem covers C and O only; N I atomic departures are the separate 1D-NLTE registry grid (RYA-526).","CAN RUN via cno-3dnlte: Amarsi 2019 CNO synthesis leg (N atomic departures are the separate 1D registry grid) (data/nlte_grids/amarsi2019_cno/). RYA-817 literature: solar=FULL_3D_NLTE, offsolar=SOLAR_ONLY."
element,O,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,O,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: 1D-NLTE (TS-native),amarsi2019_cno/,nlte_O_scatt_pysme.grd; NLTEgrid4TS_O_MARCS_May-21-2021.bin,[amarsi_galah] https://zenodo.org/records/3982506/files/nlte_O_scatt_pysme.tar.gz?download=1 | [gerber_ts] MPG Keeper (Seafile) share https://keeper.mpdl.mpg.de/d/6eaecbf95b88448f98a4/ (subfolders 'dep-grids' + 'model_atoms'),"Amarsi et al. 2020, A&A 642, A62 (GALAH DR3 departure grids) | Gerber, Bergemann et al. 2023, A&A 669, A43 (arXiv 2206.00967)",339e57921e1a52e33f59830095cc8a1f,"NO DOI, mutable/unversioned Seafile share -> md5-pinned; re-fetch verifies against these hashes.",,,,"O runs via the cno-3dnlte subsystem, not the registry. [O I] 6300 is forbidden-LTE by construction (RYA-447) and is blended with Ni I 6300.34, whose gf was a stale duplicate until RYA-543/365.",,"Wired via the cno-3dnlte subsystem (amarsi2019_cno/), not NLTE_CORRECTION_ELEMENTS. 2 departure grid(s) on Sirius."
element,O,MEAN3D_NLTE,REQUEST_ONLY,no,3D-NLTE,,,,,,,,,,,,"RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_VENDORED. Published, but no <3D> deck on disk -> paper-table / request only."
element,O,FULL_3D_NLTE,HAVE,yes,3D-NLTE,data/nlte_grids/amarsi2019_cno/,,CDS VizieR J/A+A/630/A104,"Amarsi, Nissen & Skuladottir 2019, A&A 630, A104",,"3D leg below Teff 6500 K, 1D-NLTE leg above (RYA-359/237).",,,,,O I 777 3D-NLTE + [O I] 6300 3D via synthesis (Amarsi 2019) O I 777 runs 3D-NLTE at solar Teff and 1D-NLTE above 6500 K; [O I] 6300 is forbidden-LTE by construction (RYA-447).,"CAN RUN via cno-3dnlte: Amarsi 2019 3D-NLTE O I 777; [O I] 6300 is forbidden-LTE by construction (RYA-447) (data/nlte_grids/amarsi2019_cno/). RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_VENDORED."
element,Na,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,Na,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: 1D-NLTE (TS-native),Na_Amarsi2020_PySME.csv,nlte_Na_scatt_pysme.grd; NLTEgrid4TS_Na_MARCS_Jul-14-2023.bin,[amarsi_galah] https://zenodo.org/records/3982506/files/nlte_Na_scatt_pysme.tar.gz?download=1 | [gerber_ts] MPG Keeper (Seafile) share https://keeper.mpdl.mpg.de/d/6eaecbf95b88448f98a4/ (subfolders 'dep grids' + 'model_atoms'),"Amarsi et al. 2020, A&A 642, A62 (GALAH DR3 departure grids) | Gerber, Magg, Plez, Bergemann, Heiter, et al. 2023, A&A 669, A43 (NLTE radiative transfer with Turbospectrum)",b4b1408dc8f296fa3d14ad2e2a62452f,"NO DOI, mutable/unversioned Seafile share (RYA-461/provenance bar) -> md5-pinned here; re-fetch verifies against these hashes.",,,,,ion 1; applied in default run PySME departure grid — input to pipeline.pysme_nlte ONLY; the production value is the vendored CSV derived from it,
element,Na,MEAN3D_NLTE,REQUEST_ONLY,no,none,,,,,,,,,,,,"RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_PUBLIC. Published, but no <3D> deck on disk -> paper-table / request only."
element,Na,FULL_3D_NLTE,NONE,no,none,,,,,,,,,"RYA-820 (Canocchi 2024 Na -- PUBLIC, not fetched)",,"3D-NLTE effect on solar Na is small (~-0.03 dex) and close to the 1D value. RYA-817 review correction (Ryan, 2026-08-14) flagged this row as stale and cited 'Canocchi et al. 2024'. CITATION CORRECTED at the primary source: Canocchi+2024 (A&A 683, A242) is the SOLAR centre-to-limb-variation paper (Na I D and K I in the Sun, transmission-spectroscopy motivated) and carries no off-solar grid. The off-solar grid is Canocchi+2026, A&A 709, A90. The conclusion stands, the reference does not. NB this grid is the WIDEST of any 3D-NLTE product we have found -- it reaches giants (logg 1.5) and [Fe/H] +0.5, unlike the Fe/Mg turn-off boxes.","No 3D-NLTE correction or engine we can run for this element. (We cannot COMPUTE full 3D from scratch for anything -- RYA-1008: no public full-3D NLTE RT code -- so every 3D capability here is a published grid/model we apply.) RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_PUBLIC."
element,Mg,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,Mg,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: 1D-NLTE (TS-native),Mg_Amarsi2020_PySME.csv,nlte_Mg_scatt_pysme.grd; NLTEgrid4TS_Mg_MARCS_Nov-13-2024.bin,[amarsi_galah] https://zenodo.org/records/3982506/files/nlte_Mg_scatt_pysme.tar.gz?download=1 | [gerber_ts] MPG Keeper (Seafile) https://keeper.mpdl.mpg.de/d/6eaecbf95b88448f98a4/,"Amarsi et al. 2020, A&A 642, A62 (GALAH DR3 departure grids) | Gerber, Bergemann et al. 2023, A&A 669, A43 (arXiv 2206.00967)",cdc4449e17f580cac0c5cf6f041bcc2f,"NO DOI, mutable Seafile -> md5-pinned.",,,,,ion 1; applied in default run PySME departure grid — input to pipeline.pysme_nlte ONLY; the production value is the vendored CSV derived from it,
element,Mg,MEAN3D_NLTE,REQUEST_ONLY,no,none,,,,,,,,,,,,"RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_PUBLIC. Published, but no <3D> deck on disk -> paper-table / request only."
element,Mg,FULL_3D_NLTE,NONE,no,none,,,,,,,,,"RYA-820 (Matsuno 2024 Mg -- PUBLIC, not fetched)",,"Mg I and Mg II averaged in the Asplund+2021 recommendation. RYA-817 review correction (Ryan, 2026-08-14): this row read SOLAR_ONLY because the survey cutoff missed Matsuno+2024. Verified at the primary source: the correction grid is a real CDS catalogue, and its box is the SAME as the Amarsi+2022 Fe MLP (Teff 5000-6500, logg 4.0-4.5, [Fe/H] -3..0) -- so it inherits the same ceiling and, being EW-correction based, the same open question about which LINES it covers.","No 3D-NLTE correction or engine we can run for this element. (We cannot COMPUTE full 3D from scratch for anything -- RYA-1008: no public full-3D NLTE RT code -- so every 3D capability here is a published grid/model we apply.) RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_PUBLIC."
element,Al,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
