lambda_A,band,holding,gf_source_grade,permitted_routes,model_domain,disposition,reason
3057.144,near-UV,solar_kpno,VALD3; ungraded,synth only,1D-LTE attempted; abundance-insensitive,rejected,146 transitions in +/-0.72 A; Al response 2.7e-5 vs 0.046 RMS residual; numerical minimum does not measure Al; diagnostic plot banked
3944.006,VIS,solar_kpno,Nordlander-Lind/NIST context,synth,model line exists,skipped,known CH blend; RYA-716 says do not attempt
3961.52,VIS,solar_kpno,Nordlander-Lind,synth,Gerber/mean3D level exists; production Al path not registered,skipped,resonance line requires dedicated blend-aware optical synthesis; generic VIS intake is EW-keyed
5107.5191,VIS,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,quarantined,"FEATURE-VERIFICATION: GF-GHOST: observed depth 0.376 vs predicted 0.064 (x5.9) at the correct position — the spectrum and the line parameters disagree; gf or identification is suspect, not the measurement"
5557.062,VIS,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,measured,accepted by current profile/feature gates
5557.9469,VIS,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,quarantined,"FEATURE-VERIFICATION: GF-GHOST: observed depth 0.359 vs predicted 0.056 (x6.4) at the correct position — the spectrum and the line parameters disagree; gf or identification is suspect, not the measurement"
6696.0137,VIS,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,measured,accepted by current profile/feature gates
6696.788,VIS,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,quarantined,"FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.017, predicted 0.063) — the line is absent from the spectrum or misplaced in the list"
6698.6715,VIS,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,measured,accepted by current profile/feature gates
6783.638,VIS,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,measured,accepted by current profile/feature gates
6784.256,VIS,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,quarantined,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.554 A from the catalogued position (depth 0.095 vs 0.041 at the line) — the EW is an upper bound on a blend, not this line"
6905.646,VIS,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,quarantined,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.599 A from the catalogued position (depth 0.922 vs 0.037 at the line) — the EW is an upper bound on a blend, not this line"
6906.287,VIS,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,quarantined,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.235 A from the catalogued position (depth 0.063 vs 0.059 at the line) — the EW is an upper bound on a blend, not this line"
7083.969,red-optical,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,quarantined,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.573 A from the catalogued position (depth 0.169 vs 0.111 at the line) — the EW is an upper bound on a blend, not this line"
7084.643,red-optical,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,quarantined,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.339 A from the catalogued position (depth 0.345 vs 0.092 at the line) — the EW is an upper bound on a blend, not this line"
7361.568,red-optical,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,measured,accepted by current profile/feature gates
7362.296,red-optical,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,measured,accepted by current profile/feature gates
7835.309,red-optical,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,measured,accepted by current profile/feature gates
7836.134,red-optical,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,measured,accepted by current profile/feature gates
8772.865,red-optical,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,measured,accepted by current profile/feature gates
8773.8975,red-optical,solar_kpno,canonical/Kurucz; UNGRADED except RYA-835 line-specific evidence,ew|synth,LTE; Amarsi per-line gated,measured,accepted by current profile/feature gates
10872.973,NIR,solar_kpno,VALD3; theoretical depth 0.061,synth,LTE line present,skipped,below predeclared synthesis theoretical-depth floor 0.15
11254.926,NIR,solar_kpno,VALD3,synth,not evaluated,quarantined,inside registered H2O 11120-11560 A telluric interval
