kind,subject,model_type,state,can_run,engine,grid_or_path,disk_decks,blocker,notes
element,Li,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,1D-LTE synthesis is the universal baseline route (no grid).
element,Li,1D_NLTE,DISK_ONLY,no,Engine-A: LTE only | Engine-B: LTE only,,nlte_Li_scatt_pysme.grd,,1 departure grid(s) on Sirius but NO code entry in NLTE_CORRECTION_ELEMENTS -- unwired.
element,Li,MEAN3D_NLTE,REQUEST_ONLY,no,none,,,,"RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_PUBLIC. Published, but no <3D> deck on disk -> paper-table / request only."
element,Li,FULL_3D_NLTE,NONE,no,none,,,,"No 3D-NLTE correction or engine we can run for this element. (We cannot COMPUTE full 3D from scratch for anything -- RYA-1008: no public full-3D NLTE RT code -- so every 3D capability here is a published grid/model we apply.) RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_PUBLIC."
element,C,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,1D-LTE synthesis is the universal baseline route (no grid).
element,C,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: LTE only,amarsi2019_cno/,nlte_C_scatt_pysme.grd,,"Wired via the cno-3dnlte subsystem (amarsi2019_cno/), not NLTE_CORRECTION_ELEMENTS. 1 departure grid(s) on Sirius."
element,C,MEAN3D_NLTE,REQUEST_ONLY,no,3D-NLTE,,,,"RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_VENDORED. Published, but no <3D> deck on disk -> paper-table / request only."
element,C,FULL_3D_NLTE,HAVE,yes,3D-NLTE,data/nlte_grids/amarsi2019_cno/,,,"CAN RUN via cno-3dnlte: Amarsi, Nissen & Skuladottir 2019 (A&A 630 A104) line-by-line 3D-NLTE / 1D-NLTE tables; 3D leg below Teff 6500 K (data/nlte_grids/amarsi2019_cno/). RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_VENDORED."
element,N,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,1D-LTE synthesis is the universal baseline route (no grid).
element,N,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: LTE only,N_Amarsi2020_PySME.csv,nlte_N_scatt_pysme.grd,,
element,N,MEAN3D_NLTE,REQUEST_ONLY,no,3D-NLTE,,,,"RYA-817 literature: solar=FULL_3D_NLTE, offsolar=SOLAR_ONLY. Published, but no <3D> deck on disk -> paper-table / request only."
element,N,FULL_3D_NLTE,HAVE,yes,3D-NLTE,data/nlte_grids/amarsi2019_cno/,,,"CAN RUN via cno-3dnlte: Amarsi 2019 CNO synthesis leg (N atomic departures are the separate 1D registry grid) (data/nlte_grids/amarsi2019_cno/). RYA-817 literature: solar=FULL_3D_NLTE, offsolar=SOLAR_ONLY."
element,O,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,1D-LTE synthesis is the universal baseline route (no grid).
element,O,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: 1D-NLTE (TS-native),amarsi2019_cno/,nlte_O_scatt_pysme.grd; NLTEgrid4TS_O_MARCS_May-21-2021.bin,,"Wired via the cno-3dnlte subsystem (amarsi2019_cno/), not NLTE_CORRECTION_ELEMENTS. 2 departure grid(s) on Sirius."
element,O,MEAN3D_NLTE,REQUEST_ONLY,no,3D-NLTE,,,,"RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_VENDORED. Published, but no <3D> deck on disk -> paper-table / request only."
element,O,FULL_3D_NLTE,HAVE,yes,3D-NLTE,data/nlte_grids/amarsi2019_cno/,,,"CAN RUN via cno-3dnlte: Amarsi 2019 3D-NLTE O I 777; [O I] 6300 is forbidden-LTE by construction (RYA-447) (data/nlte_grids/amarsi2019_cno/). RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_VENDORED."
element,Na,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,1D-LTE synthesis is the universal baseline route (no grid).
