check,title,status,detail,offending_rows
A1,AGSS21 count reconciliation,PASS,"The (system,|dnu|) partition is the correct decoder for the AGSS21 sub-counts: 7 of 11 cells agree EXACTLY, including both CO cells in the published order, both C2, CN, NH dnu=0, OH dnu=0 and OH dnu=2. Transcription re-slices byte-exactly to the holding's own ReadMe and the columns the crossmatch never uses (Param, |dnu|, System) all fall inside the ReadMe's stated domains. CLOSED AGAINST THE PAPER ITSELF: AGSS21 IS acquired -- data/refs/bibliography.csv key `asplund2021`, DOI 10.1051/0004-6361/202140445, local_file 'Reference documents/Apslund 2021.pdf', verified=extracted -- and its Sect. 4 states every banked count VERBATIM: '39 lines in the C2 Swan system'; CH 'divided into 51 fundamental rovibrational (dnu = 1) lines and seven electronic lines in the CH A-X system'; CO '28 belonging to fundamental (dnu = 1) bands and 52 to first overtone (dnu = 2)'; NH '13 pure rotational (dnu = 0) and 15 fundamental (dnu = 1)'; CN '59 electronic lines in the 0-0 band ... and 463 more lines with dnu >= 1'; OH '84 pure rotational (dnu = 0), 50 fundamental (dnu = 1), and 15 first overtone (dnu = 2)'. The (system,|dnu|) decoder is thus confirmed by the paper's own wording, not inferred. The 4 residual deltas (408 vs 413) are REAL AGSS21-text-vs-Amarsi-Table-2 differences, localised to four cells, and are NOT a transcription error of ours.",CH X-X dnu=1 banked=51 table2=48; CH A-X dnu=0 banked=7 table2=6; NH X-X dnu=1 banked=15 table2=18; OH X-X dnu=1 banked=50 table2=46
A2,"Physical-identity crossmatch, never wavelength-alone",FAIL,"REPRODUCED EXACTLY: my independently re-implemented decision logic returns 278 unique / 9 ambiguous / 41 unresolved on the 328 non-CO rows and 80/80 unique on CO -- identical to the artifact on all four quantities. The three-field conjunction is REAL and the tolerances are EARNED: scrambling published_loggf collapses 278 unique to 17, scrambling lower_energy_eV to 3, and displacing wavelength by 20 cm-1 to 0. CO behaves the same way (80 -> 0 on scrambled gf). No wavelength-only admission exists in either molecular leg. BUT the acceptance set ACCEPTED_MOLECULAR_JOINS admits PRIMARY_UNRESOLVED_SUM_MATCH, and 26 of those 32 rows had MORE THAN ONE subset of primary components whose gf sum reproduces the published loggf (up to 16 viable subsets). build_cno_intake_rya1136.py resolves them with min(subsets, key=...) -- an argmin over candidate identities -- and then counts the result as matched coverage. That is the ambiguity-tolerant match the gate forbids: the matcher found A combination, not THE combination, and nothing downstream records that the identity was picked rather than determined.",1;2;3;5;6;8;9;10;11;13;15;17;19;21;24;29;30;31;32;33;34;36;39;54;65;66
A2b,identity_basis honesty (wavelength's real role),FLAG,"ingest_cno_molecular_primary_rya1136.py comments that wavelength 'supplies candidates but can never decide identity'. Measured: removing the wavelength window while keeping band+lower_energy+loggf drops unique matches from 278 to 58 and raises ambiguity from 9 to 229. Wavelength IS what separates 220 of the 278 accepted identities -- expected, since neighbouring J within one band carry near-equal loggf. The join is still a four-field conjunction and the nulls above show it is not wavelength-alone, so this is a documentation defect, not an admission defect. Separately, dropping the lower_energy term changes NOTHING (278 unique either way): E_low excludes zero candidates and acts as a corroborating field, not a discriminating one. Both facts belong in identity_basis; neither is recorded.",
A2c,RYA-1037/1033 guard still covers the intake,FAIL,"The guard exits clean and names NEITHER RYA-1136 script (unexpectedly reports one). The reason is structural, not incidental: _enclosing_has_ep() tests the WHOLE enclosing FunctionDef for an EP-like name, so one EP mention anywhere in a function launders every wavelength-only comparison in it (function-scoped test confirmed in the AST). Positive control, run here: an identical lambda-only comparison is FLAGGED with no `ep` in scope (True) and SILENT once an unrelated `ep` is bound earlier in the same function (False). That is exactly the shape of build_cno_intake_rya1136.py:atomic_census(), where the C I/O I loop binds `ep` and the N I loop below it joins on wavelength alone -- see A6. The guard did not pass the intake; it never looked at it.",
A3,Molecular identity completeness,FAIL,"390 rows are treated as matched while 9 of 14 identity fields are absent from every artifact: isotopologue, J_upper, J_lower, branch_or_parity, E_upper, air_or_vacuum_frame, native_intensity_quantity, conversion_provenance, component_vs_band_normalisation. Two are not source limitations but losses in our own code: (1) J'' is parsed for all primary transitions and discarded -- it survives only as a factor inside gf; (2) system and vibrational band exist in primary_molecular_crossmatch.csv and are dropped when the builder merges into molecular_physical_crossmatch.csv. Two 'transition label' columns are not labels at all: every CO row carries an unsplit remainder of the Turbospectrum record, and every CH row carries branch + the o-c residual. Table 2 omitting rotational identity is the honest blocker RYA-1136 names; it does not explain discarding the identity the PRIMARY side does publish.",isotopologue;J_upper;J_lower;branch_or_parity;E_upper;air_or_vacuum_frame;native_intensity_quantity;conversion_provenance;component_vs_band_normalisation
A4,Provenance / grade earned,FAIL,"Two CRITICAL provenance defects. (1) REDISTRIBUTION LABELLED PRIMARY: source_bibliography.csv row Li2015_CO cites 'Li et al. 2015, ApJS 216, 15', role '12C16O wavelengths, energies, transition probabilities', status ACQUIRED -- and points at data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat. That file's own second line reads 'ExoMol Li2015', and the repo's MOLECULAR_MANIFEST.json describes it as an 'RYA-236 conversion of the ExoMol Li2015 CO list to the Turbospectrum babsma .dat format (conversion script external to this repo)'. It is an ExoMol redistribution, twice derived, by a converter that is not in the repo and cannot be re-run -- and it is the sole source behind ALL 80 CO PHYSICAL_TUPLE_MATCH rows, the only clean-match class in the intake. No Li 2015 primary table was ever acquired; data/reference/cno_molecular_primary/ has no CO directory. (2) MISSING CHECKSUM: the AGSS21 row carries asset='article' and an EMPTY sha256. NOTE THE CORRECTED SCOPE -- the paper IS held (data/refs/bibliography.csv key `asplund2021`, local_file 'Reference documents/Apslund 2021.pdf', verified=extracted); it is THIS intake's bibliography that fails to point at the acquired copy. That is a broken link, not a missing source, and A1 is closed against the held PDF. Everything else verifies: all 9 other assets exist, all 9 recorded checksums recompute EXACTLY, and the CDS ReadMes for CN/CH/Barklem plus the NH reprint's own front matter confirm their bibcodes and DOIs. Also FLAG: 4 acquired C2 supporting archives (ChenEtAl-C2-2015-JChemPhys.zip, ChenEtAl-C2-2016-JChemPhys.zip, RamEtAl-C2-2014-AstroJ.zip, TanabashiEtAl-C2-2007-AstroJSuppl.zip) appear in no bibliography row, with no checksum and no stated role.",AGSS21;Li2015_CO
A4b,Primary-parser transcription validated physically,PASS,"The CH parse is validated against the holding's own byte-by-byte ReadMe spec (lam.Air 6-18, gf 21-34, Elow 39-49, vl 52, J 55-58, vu 83, mol 113-116, trans 118-120 -- every slice in parse_ch matches) and then against a physical identity the table never tabulates: Eup - Elow must equal 1/lambda_vac. Median residual over 40000 12CH records is 0.000067 cm-1 with 97.8% inside 0.01 cm-1. The negative control -- the same identity WITHOUT the air-to-vacuum conversion -- sits at -5.9737 cm-1, so the check is discriminating and the Morton conversion is load-bearing and correct. This is what makes the imported parsers usable as evidence rather than as an assumption.",
A5,Molecular constants provenance,FAIL,"molecular_constants_ledger.csv asserts for all six molecules partition_function_source='Barklem & Collet 2016' and verdict='PRIMARY_TABLES_ACQUIRED'. The partition-function table was never acquired. Barklem & Collet publish partition functions in table6.dat and equilibrium constants in table7.dat, per their own ReadMe File Summary; the holding contains ReadMe, table1.dat and list.dat only -- and list.dat is not constants, it is the LIST OF FILENAMES in the table2/ subdirectory, which is likewise absent. So the ledger claims acquisition of two tables that are not on disk and one (table2/*) it never names. What IS genuinely acquired and verifiable is the dissociation energy: table1.dat carries an adopted De for all six molecules (C2 6.371000 eV, CH 3.469600 eV, CN 7.737000 eV, CO 11.117000 eV, NH 3.419000 eV, OH 4.417100 eV) -- and the ledger records none of them. All six ledger rows are byte-identical boilerplate holding no per-molecule value, no table id, no row reference and no checksum, and every row asserts the same isotopic assumption for molecules whose isotopologue the intake never determined. This is an unsourced-constant finding of the kind A5 exists to catch, and the six rows overstate it as PRIMARY_TABLES_ACQUIRED.",C2;CH;CN;NH;OH;CO
A5b,Hand-set C2 energy-origin constant,FLAG,"ingest_cno_molecular_primary_rya1136.py adds a hard-coded C2_LOWER_ORIGIN_EV = 0.0753 eV (607.3 cm-1) to every C2 lower energy before the identity test, with no citation and no bibliography row. Swept here: the constant is genuinely data-determined, not arbitrary -- it sits on a plateau of 580.7-645.2 cm-1 (64.5 cm-1 wide, set by the 0.005 eV energy tolerance), the code value lies inside it, and the null is clean: 881 of 1000 sampled offsets yield ZERO matches, with nothing at all outside 565.4-660.6 cm-1. So this is not a free parameter quietly absorbing error. Two things are still wrong with it. It is FITTED rather than sourced -- it was chosen by making the join succeed, which is the shape RYA-161 forbids, and A5 requires typed provenance for exactly this class of constant. And the code's justification, that the shift is 'independently visible across all 39 rows', is overstated: only 15 of the 39 C2 rows ever reach a unique match at the best offset; the other 24 are the sum-matched and strength-mismatched rows, which cannot witness it. Cite it, or derive it from the acquired Brooke/Chen holdings and record the derivation.",
A6,"Atomic side (C/N/O census, EP-aware joins)",FAIL,"The C I / O I leg is sound: 17 C I and 26 O I rows from Amarsi 2019 Table 1 all route through nearest_canonical(), which requires wavelength AND excitation potential AND loggf and returns AMBIGUOUS or ABSENT rather than guessing -- 43 rows, EP-aware, correctly refusing. The N I leg is not. The five-line AGSS21 adopted set is selected by `abs(float(r['wavelength_air_A']) - wavelength) <= .05` with NO EP and NO loggf term -- a wavelength-only key, confirmed in the builder's AST (1 wavelength-only comparison(s) vs 0 EP-aware in atomic_census()). 4 of the 5 N I lines are then stamped join_status=PHYSICAL_TUPLE_MATCH, which is exactly the RYA-1034 defect: a lab-tier identity claimed on a wavelength match alone. It is worse than a silent one, because the row then REPORTS lower_EP_eV and published_loggf that were READ OUT OF our own canonical_gf row -- our value round-tripping back as though the primary paper supplied it (RYA-1035's vendor-echo defect), under a column literally named published_loggf. Consequently intake_verdict.json's safety line, 'No abundance derived; no gf tuned; no wavelength-only join admitted', is FALSE on its third clause. The 5th line (10108.90 A) is honestly ABSENT and the N I gap is not silently filled, which is the one thing this leg gets right.",7442.29A;8216.33A;8629.23A;8683.40A
