# RYA branch cleanup 2026-08-27T18:43:47Z — every branch below was an ANCESTOR of origin/main
# (its commits are IN main), not checked out in any worktree, and untouched for >3 days.
# Recover any of them with:  git branch <name> <sha>  &&  git push origin <name>
branch,sha,last_commit_date,subject
build/rya-165-fe-nlte-corrections,9c3e8dde0303c610f7161fc15ffa6120b94263d2,2026-06-07,"RYA-165: apply Amarsi+2022 3D NLTE Fe corrections via neural network"
build/rya-207-per-line-nlte,c8582364258220e26d14572ed44e43661bb8f178,2026-06-07,"RYA-207: apply aberr[i] per line; recompute mean/std from corrected va"
build/rya-229-nlte-integration,85f691f31775ec7cf7753e06b4a644670603f955,2026-06-11,"feat(rya-229): use median for A_X_nlte; add NLTE outlier diagnostic"
build/rya-244-nlte-ca-ti-cr-mpia,af34743e9f8ccf4a5126cf616f2f6da736cfea90,2026-06-11,"recon(rya-244): add NLTE source probe script for Ca/Ti/Cr"
build/rya-245-nlte-mpia-scrape,090c675fc2316526e33cc673b60e73ce9ccbebcf,2026-06-11,"feat(rya-245): build Ca/Ti/Cr NLTE grids from MPIA Spectrum Tools"
build/rya-396-nlte-grids,ace5113af260a9e202ca388a0cecd3c68f57e3e3,2026-06-21,"RYA-396: INSPECT dual-mode scraper + Na NLTE grid; INSPECT `f` IS a re"
build/rya-399-3d-metals,a3c5796623f2ebea670f910a4214db7ba9a03ce9,2026-06-21,"RYA-399: metal 3D abundance-correction leg (Si/Ti/Cr) + the 3D-not-the"
build/rya-409-loud-nlte-guard,9267d03d8388f5e87d8ea3eef80bda3046f2a336,2026-06-21,"Merge remote-tracking branch 'origin/main' into build/rya-409-loud-nlt"
fix/rya-196-vmic-ispec-ews,1f4667254e3aaaa38d82326d0f9e67e909171326,2026-06-07,"RYA-196: hybrid solar EW — GES Fe I + lines_fit Fe II"
fix/rya-199-ew-ceiling-abundance,6007eb899cf65b01dda38d4a978629b96c22df53,2026-06-07,"RYA-199: replace hardcoded 150 mA EW ceiling with PIPELINE['ew_max_mA'"
fix/rya-200-xfe-scale-mismatch,9d5aa9afd46030d8085282196bffe3c7acae7ae2,2026-06-07,"RYA-200: fix [X/Fe] scale mismatch — both [X/H] and [Fe/H] now on Aspl"
fix/rya-201-cu-sr-solar-abundances,b7e33948c6d9ead641ec917eaeb82a336be4d9f7,2026-06-07,"RYA-201: add Cu and Sr to SOLAR_ASPLUND2021"
fix/rya-227-vmic-abundance-clip,6e483d89c5161aca91680e20b6e861516067b71d,2026-06-11,"feat(rya-227): restore 2σ abundance clip on vmic slope sample; lower F"
fix/rya-230-cog-ceiling-final-pool,554172ae718e6980a3da27f458f235e077ca1f17,2026-06-11,"fix(rya-230): apply 150 mÅ COG ceiling to final Fe I abundance pool"
fix/rya-243-fe2-orphan-vetting,90b54847a7c6d040c55566dfc2d5b84af5c6485b,2026-06-11,"fix(rya-243): drop Fe II prox threshold, rebuild GES regions"
fix/rya-247-fe2-ew-matching,c981015176b7ac6d8d4c6ec3212b124dd88a2381,2026-06-12,"fix(rya-247): close Fe II EW matching gap + fix NLTE absolute-unit bug"
