path,size_mb,branch,branch_status,protected,dirty_tracked,n_ignored_artifacts,n_orphan_artifacts,orphan_examples,verdict,save_action
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex,1736,ryandamienschmitt/rya-315-build-scaffold-method-selection-policy-method_policyyaml,merged,True,0,51,24,data/processed/engine_diff_procyon.csv; data/processed/engine_diff_solar.csv; data/processed/engine_diff_solar_v2.csv,ARCHIVE,save_artifact() 24 orphan file(s) first
/Users/ryanschmitt/codex/air,1611,(detached),detached,False,3,46,37,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_SYNTH_1D-LTE_lines.csv; data/results/band_products/FeII_3000_3780_kpno_solar_atlas_SYNTH_budgets.txt; data/results/band_products/FeII_3000_3780_kpno_solar_atlas_SYNTH_products.csv,ARCHIVE,save_artifact() 37 orphan file(s) first
/Users/ryanschmitt/codex/rya1015,838,ryandamienschmitt/rya-1086-run-fill-the-7-missing-synth-1d-lte-legs-legacy-engine-b-4,UNMERGED(5/5 files differ),False,14,324,274,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv; data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_budgets.txt; data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/codex/rya1070,832,ryandamienschmitt/rya-1070-audit-read-only-linemake-as-a-gf-cross-reference-for-our,UNMERGED(11/11 files differ),False,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/codex/rya1075,820,ryandamienschmitt/rya-1075-fix-critical-47-canonical_gf-rows-carry-the-hfs-per-isotope,UNMERGED(16/16 files differ),False,0,1,1,data/results/gf_divergence_synth-vs-solar.csv,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/codex/rya1069,819,ryandamienschmitt/rya-1069-preflight-readiness,UNMERGED(8/8 files differ),False,1,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/codex/rya1079,819,ryandamienschmitt/rya-1079-telluric-observability,UNMERGED(8/8 files differ),False,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/private/tmp/claude-501/-Users-ryanschmitt/21fa9ab3-d4cd-44e9-8498-aa1b50dfaced/scratchpad/base1075,818,(detached),detached,False,1,0,0,,KEEP,uncommitted tracked changes present
/Users/ryanschmitt/codex/rya1072,816,ryandamienschmitt/rya-1072-ambiguous-telluric-requirement,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/rya1078,816,ryandamienschmitt/rya-1078-unify-ambiguity-reading,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/private/tmp/claude-501/-Users-ryanschmitt/21fa9ab3-d4cd-44e9-8498-aa1b50dfaced/scratchpad/base1070,815,(detached),detached,False,1,0,0,,KEEP,uncommitted tracked changes present
/Users/ryanschmitt/codex/ci1059,815,ryandamienschmitt/rya-1059-regen-stale-line-ids,UNMERGED(5/5 files differ),False,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/private/tmp/claude-501/-Users-ryanschmitt/6a6e3faa-fce5-45dd-99e4-c9f17b0aec61/scratchpad/rya821,809,ryandamienschmitt/rya-821-al-abundance-axis,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/private/tmp/claude-501/-Users-ryanschmitt/63e1a464-4928-4893-890e-0ca8c75d7945/scratchpad/rya1081,808,ryandamienschmitt/rya-1081-harps-fe2-deepgraded-audit,UNMERGED(37/37 files differ),False,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/private/tmp/claude-501/-Users-ryanschmitt/63e1a464-4928-4893-890e-0ca8c75d7945/scratchpad/main853,807,(detached),detached,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/private/tmp/claude-501/-Users-ryanschmitt/63e1a464-4928-4893-890e-0ca8c75d7945/scratchpad/rya1080,807,ryandamienschmitt/rya-1080-feed-repo-reconcile,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/private/tmp/claude-501/-Users-ryanschmitt/63e1a464-4928-4893-890e-0ca8c75d7945/scratchpad/rya1084,807,ryandamienschmitt/rya-1084-blocked-writer,UNMERGED(19/19 files differ),False,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/codex/rya1071,807,ryandamienschmitt/rya-1071-one-pool-two-routes,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/rya1077,807,ryandamienschmitt/rya-1077-stable-line-id,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/rya1083,807,ryandamienschmitt/rya-1083-paired-differential,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/Projects/codex-tracker,806,rya935-framework,UNMERGED(7/15 files differ),False,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/private/tmp/claude-501/-Users-ryanschmitt/63e1a464-4928-4893-890e-0ca8c75d7945/scratchpad/rya853,805,ryandamienschmitt/rya-853-referee-fix,UNMERGED(13/13 files differ),False,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/codex/maincheck,804,(detached),detached,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/private/tmp/rya1058-finish,802,rya1058-finish,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/redopt,802,ryandamienschmitt/rya-961-redopt-linelist,merged,False,2,4,4,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_SYNTH_FROMEW_1D-LTE_lines.csv; data/results/band_products/FeI_6910_9199_kpno_solar_atlas_SYNTH_FROMEW_budgets.txt; data/results/band_products/FeI_6910_9199_kpno_solar_atlas_SYNTH_FROMEW_products.csv,ARCHIVE,save_artifact() 4 orphan file(s) first
/Users/ryanschmitt/codex/rya1044r,802,ryandamienschmitt/rya-1044-rya783-reconciliation,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/rya1050,802,ryandamienschmitt/rya-1050-window-local-nlte,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/rya1051b,802,ryandamienschmitt/rya-1051-solar-ep-null,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/rya1059,802,ryandamienschmitt/rya-1059-chiappino-crires-jhk-digest,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/private/tmp/rya1060-ci,801,(detached),detached,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/private/tmp/rya1063,801,rya1063-work,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/pr419,801,(detached),detached,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/rya1065,801,ryandamienschmitt/rya-1065-homepage-data-driven-local-stellar-neighborhood-target-map,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/rya1066,801,ryandamienschmitt/rya-1066-cleanup-main-page-roadmap-method-product-based-alphabeta,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/rya987,801,ryandamienschmitt/rya-987-two-arm-cap,merged,False,1,28,26,data/results/band_products/FeI_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_LOCALRENORM_1D-LTE_lines.csv; data/results/band_products/FeI_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_LOCALRENORM_ENGINE-A_budgets.txt; data/results/band_products/FeI_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_LOCALRENORM_ENGINE-A_lines.csv,ARCHIVE,save_artifact() 26 orphan file(s) first
/private/tmp/claude-501/-Users-ryanschmitt/1c13a3e2-6af7-4458-a204-36043e6c4533/scratchpad/base1035,797,(detached),detached,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/rya1020,796,ryandamienschmitt/rya-1020-graded-redopt-nir,merged,False,4,0,0,,KEEP,uncommitted tracked changes present
